purchase_id,user_id,product_id,date,quantity
1001,1,101,2024-01-15,1
1002,1,105,2024-01-20,2
1003,2,102,2024-01-22,1
1004,3,108,2024-02-01,3
1005,3,119,2024-02-05,1
1006,4,110,2024-02-07,5
1007,5,104,2024-02-10,1
1008,6,114,2024-02-12,1
1009,7,107,2024-02-14,2
1010,7,117,2024-02-15,3
1011,8,103,2024-02-18,1
1012,9,109,2024-02-20,2
1013,9,120,2024-02-21,1
1014,10,115,2024-02-22,1
1015,11,106,2024-02-25,2
1016,11,121,2024-02-26,1
1017,12,116,2024-02-27,2
1018,13,118,2024-03-01,1
1019,13,105,2024-03-02,3
1020,14,113,2024-03-04,1
1021,15,122,2024-03-05,1
1022,15,108,2024-03-06,2
1023,16,110,2024-03-07,4
1024,16,117,2024-03-09,2
1025,17,125,2024-03-10,1
1026,18,104,2024-03-12,1
1027,18,111,2024-03-14,3
1028,19,101,2024-03-15,1
1029,19,121,2024-03-17,1
1030,20,109,2024-03-18,1
1031,20,123,2024-03-19,2
1032,21,102,2024-03-20,1
1033,22,116,2024-03-22,3
1034,22,120,2024-03-23,1
1035,23,106,2024-03-25,1
1036,23,108,2024-03-26,2
1037,24,114,2024-03-27,1
1038,25,119,2024-03-28,2
1039,25,107,2024-03-29,1
1040,26,124,2024-04-01,1
1041,27,105,2024-04-02,3
1042,27,117,2024-04-03,2
1043,28,109,2024-04-04,1
1044,28,120,2024-04-05,1
1045,28,112,2024-04-06,4
1046,29,115,2024-04-07,1
1047,30,104,2024-04-08,1
1048,30,107,2024-04-09,2
1049,,118,2024-04-10,1
1050,3,110,2024-04-11,
1051,11,104,2024-04-12,1
1052,16,122,2024-04-13,1
1053,20,116,2024-04-14,2
1054,7,121,2024-04-15,1
1055,15,107,2024-04-16,3
1056,23,117,2024-04-17,2
1057,25,111,2024-04-18,5
1058,3,116,2024-04-19,1
1059,27,108,2024-04-20,1
1060,30,120,2024-04-21,1
